"respondent_id","h1n1_vaccine","seasonal_vaccine"
26707,0.147640099610713,0.281018227090494
26708,0.147640099610713,0.244958257504491
26709,0.195586070309235,0.698632885507597
26710,0.210009423443396,0.71887013650518
26711,0.156082850382676,0.29955483917186
26712,0.165118083268424,0.746440514057348
26713,0.168821833288457,0.458217803480842
26714,0.147640099610713,0.245876811452868
26715,0.147640099610713,0.244958257504491
26716,0.147640099610713,0.732806247907961
26717,0.147640099610713,0.294686044817976
26718,0.149654107855484,0.401557311733272
26719,0.147640099610713,0.75494242031207
26720,0.147640099610713,0.252244387277465
26721,0.212716471701069,0.683771929824561
26722,0.147640099610713,0.245876811452868
26723,0.559265031580674,0.781730366938358
26724,0.147640099610713,0.688267854940175
26725,0.147640099610713,0.244958257504491
26726,0.147640099610713,0.244958257504491
26727,0.149875376175984,0.728959239649162
26728,0.147989168419942,0.293885804039008
26729,0.147640099610713,0.247302733989186
26730,0.147640099610713,0.246781406533792
26731,0.147640099610713,0.251428958577695
26732,0.149225980160998,0.248255001804128
26733,0.65251428036333,0.781855050151935
26734,0.575218788080204,0.406781076740598
26735,0.147640099610713,0.278643685824498
26736,0.147640099610713,0.245427687600962
26737,0.147640099610713,0.245568749689983
26738,0.212716471701069,0.710342839169637
26739,0.147640099610713,0.244958257504491
26740,0.148514808368855,0.244958257504491
26741,0.148514808368855,0.761786795138384
26742,0.147640099610713,0.249312549669033
26743,0.147640099610713,0.269372945447699
26744,0.147640099610713,0.647798417612659
26745,0.149654107855484,0.805194805194805
26746,0.154615981989304,0.322469324628225
26747,0.147640099610713,0.247302733989186
26748,0.147640099610713,0.245568749689983
26749,0.147640099610713,0.536186965674851
26750,0.5026448534424,0.717614310797948
26751,0.155288032236899,0.573947329266478
26752,0.147640099610713,0.244958257504491
26753,0.147640099610713,0.610565137706811
26754,0.147640099610713,0.28736288613695
26755,0.147640099610713,0.423199042571518
26756,0.147640099610713,0.244958257504491
26757,0.179227936281131,0.643374005030198
26758,0.176351474589709,0.70402576489533
26759,0.147640099610713,0.245427687600962
26760,0.147640099610713,0.244958257504491
26761,0.164814076676786,0.748129489691203
26762,0.147640099610713,0.63750343758594
26763,0.626505762122201,0.792805125148987
26764,0.655923714729578,0.808368715480231
26765,0.147989168419942,0.694838532050659
26766,0.147640099610713,0.244958257504491
26767,0.616355948042239,0.66492754959924
26768,0.147640099610713,0.313842292572724
26769,0.147640099610713,0.258263660472171
26770,0.147989168419942,0.59661475001778
26771,0.147640099610713,0.252515321742408
26772,0.147640099610713,0.294058981759024
26773,0.147640099610713,0.293727772928145
26774,0.147640099610713,0.284973349729069
26775,0.147640099610713,0.317074577766449
26776,0.202231532527239,0.674477025669133
26777,0.147640099610713,0.715839026171528
26778,0.147640099610713,0.249195429509013
26779,0.147640099610713,0.608855346176938
26780,0.149875376175984,0.822303824716322
