"respondent_id","h1n1_vaccine","seasonal_vaccine"
26707,0.142466364831284,0.411112009486926
26708,0.141800282212414,0.220680159521953
26709,0.242637772221502,0.670627599783571
26710,0.341474760663529,0.665279513293353
26711,0.164548671137557,0.439076340167239
26712,0.199038776353418,0.655779431700029
26713,0.285591722191891,0.370910348023961
26714,0.142466364831284,0.277885839499654
26715,0.140393361449332,0.26826258674824
26716,0.159805076453271,0.723220541216245
26717,0.13934519132942,0.477664003891515
26718,0.164548671137557,0.391850587293694
26719,0.141800282212414,0.68813159525637
26720,0.159805076453271,0.412096347931099
26721,0.301758998346673,0.549272782190048
26722,0.158398155690189,0.255664337648653
26723,0.458180755050178,0.68813159525637
26724,0.159805076453271,0.606724260890001
26725,0.141800282212414,0.248926660404642
26726,0.157349985570277,0.237082862444262
26727,0.164548671137557,0.723220541216245
26728,0.199038776353418,0.461833645572377
26729,0.141800282212414,0.284545029910074
26730,0.141800282212414,0.284545029910074
26731,0.139249191818743,0.333371486282354
26732,0.222984424867124,0.267148531216021
26733,0.490066901158782,0.722571421351176
26734,0.490066901158782,0.439076340167239
26735,0.159805076453271,0.461833645572377
26736,0.159805076453271,0.25699442592265
26737,0.141800282212414,0.210730949226387
26738,0.417031469064607,0.645815464878938
26739,0.159805076453271,0.284545029910074
26740,0.16151239814187,0.241993283756066
26741,0.164548671137557,0.722571421351176
26742,0.159805076453271,0.34783891886085
26743,0.157349985570277,0.445973849682611
26744,0.158398155690189,0.624625311561078
26745,0.176786779671929,0.750072610821266
26746,0.260034645553837,0.461833645572377
26747,0.159805076453271,0.34783891886085
26748,0.199038776353418,0.220680159521953
26749,0.159805076453271,0.480365348028249
26750,0.41299596570267,0.665279513293353
26751,0.199038776353418,0.461833645572377
26752,0.141800282212414,0.215204709648415
26753,0.199038776353418,0.577934967963022
26754,0.141800282212414,0.328022234643124
26755,0.160389045994561,0.415020369488189
26756,0.13934519132942,0.190220693555797
26757,0.41299596570267,0.534964232516606
26758,0.311401059586811,0.632766172103247
26759,0.140393361449332,0.280091602504962
26760,0.13934519132942,0.184024985344437
26761,0.222984424867124,0.521669780588821
26762,0.140393361449332,0.577934967963022
26763,0.494827015613833,0.737356471707204
26764,0.530968787646829,0.722694292040939
26765,0.170254426121037,0.447909973591628
26766,0.16273622610567,0.25699442592265
26767,0.490066901158782,0.534964232516606
26768,0.157349985570277,0.454160959532926
26769,0.16151239814187,0.375975518650476
26770,0.199038776353418,0.588738605264615
26771,0.141800282212414,0.333371486282354
26772,0.141800282212414,0.45347031852086
26773,0.157349985570277,0.480365348028249
26774,0.13934519132942,0.262674770793992
26775,0.159805076453271,0.461833645572377
26776,0.417031469064607,0.619789509205216
26777,0.161795966757643,0.676711736073036
26778,0.199038776353418,0.497988988216417
26779,0.159805076453271,0.531487671347976
26780,0.165273282230671,0.750072610821266
26781,0.166179494620713,0.418575896091742
26782,0.141800282212414,0.34783891886085
26783,0.141800282212414,0.34783891886085
26784,0.159805076453271,0.507161894450311
26785,0.40839317505988,0.63043316480594
26786,0.16273622610567,0.299407499948646
26787,0.159805076453271,0.494315334609818
26788,0.141800282212414,0.68813159525637
26789,0.157349985570277,0.334259714396435
26790,0.141800282212414,0.34783891886085
26791,0.141800282212414,0.25699442592265
26792,0.199038776353418,0.655779431700029
26793,0.143690192795084,0.68813159525637
26794,0.490066901158782,0.664990868062054
26795,0.140393361449332,0.722694292040939
26796,0.141800282212414,0.195759910453082
26797,0.159805076453271,0.478888863689466
26798,0.240825327189615,0.299407499948646
26799,0.242637772221502,0.531487671347976
26800,0.158398155690189,0.750574987195249
26801,0.240587810781055,0.374437460345589
26802,0.159805076453271,0.255664337648653
26803,0.159805076453271,0.25699442592265
